symbol,rows,nulls,min_ts,max_ts,first_oi_ts,last_oi_ts,null_rate,non_nulls
ZRX_USDT:USDT,40305,12466,2020-06-25 09:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3092916511599057,27839
COMP_USDT:USDT,40254,12354,2020-07-01 09:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.30690117752273066,27900
DOGE_USDT:USDT,39948,12057,2020-07-11 09:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.30181736257134273,27891
BAND_USDT:USDT,39552,11663,2020-07-30 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2948776294498382,27889
KAVA_USDT:USDT,39587,11670,2020-07-29 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.29479374542147674,27917
MKR_USDT:USDT,39096,11290,2020-08-14 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.28877634540617964,27806
SNX_USDT:USDT,39190,11307,2020-08-15 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2885174789487114,27883
DOT_USDT:USDT,39027,11091,2020-08-23 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.284187869936198,27936
BLZ_USDT:USDT,37010,10454,2020-09-18 07:00:00+00:00,2024-12-23 08:00:00+00:00,2021-12-01 00:00:00+00:00,2024-12-23 08:00:00+00:00,0.2824641988651716,26556
YFI_USDT:USDT,38614,10890,2020-09-01 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.28202206453617856,27724
CRV_USDT:USDT,38797,10847,2020-09-02 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.27958347294893937,27950
SUSHI_USDT:USDT,38534,10773,2020-09-05 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.27957128769398454,27761
RUNE_USDT:USDT,38727,10801,2020-09-05 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2789010251245901,27926
FTM_USDT:USDT,37162,10297,2020-09-25 07:00:00+00:00,2025-01-06 09:00:00+00:00,2021-12-01 00:00:00+00:00,2025-01-06 09:00:00+00:00,0.277084118185243,26865
SOL_USDT:USDT,38365,10537,2020-09-15 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.27465137495112735,27828
REN_USDT:USDT,35939,9860,2020-10-14 07:00:00+00:00,2024-12-03 09:00:00+00:00,2021-12-01 00:00:00+00:00,2024-12-03 09:00:00+00:00,0.2743537661036757,26079
STORJ_USDT:USDT,38160,10458,2020-09-17 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.27405660377358493,27702
EGLD_USDT:USDT,38415,10515,2020-09-15 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2737212026552128,27900
ICX_USDT:USDT,38393,10502,2020-09-16 06:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.27353944729507984,27891
